英文,中文,詞性
aquarium,水族館,n
eamex corporation,埃美克斯公司,n
osaka,大阪,n
remarkable,卓越,adj
brightly,明亮的,adv
plastic,塑膠,adj
propelling,推動,v
fair,公平,v n adj
imitation,模仿,n
contain,包含,v
mechanical,機械的,n adj
shafts,軸,v n
gears,齒輪,v n
battery,電池,n
instead,反而,adv
innards,內臟,n
flex,柔性,v n
forth,向前,adv
seemingly,似乎,adv
own,自己的,v adj pron
volition,意志,n
commercial,商業的,n adj
product,產品,n
based,基於,v
improved,改進的,adj
electroactive,電活性的,adj
polymer,聚合物,n
response,回覆,n
electricity,電,n
decades,幾十年,n
engineer,工程師,v n
actuators,執行器,n
motion,運動,n
generating,產生,v
device,裝置,n
sought,尋求的,v
artificial,人造的,adj
equivalent,相等的,n adj
muscle,肌肉,n
simply,簡單的,adv
nerve,神經,v n
stimulation,刺激,n
exert,發揮,v
amount,數量,v n
force,力量,v n
sufficient,充足的,adj
blink,眨,v n
hoist,提升,v n
barbell,槓鈴,n
exhibit,展示,v n
property,財產,n
scale,尺度,v n
envariance,不變性,adj
equally,一樣,adj adv
efficiently,有效率的,adv
which,哪個,pron
fundamentally,從根本上,adv
tissue,組織,n
both,兩者,adj pron
insects,昆蟲,n
elephant,大象,n
might,可能,v n
therefore,所以,adv
electric,電的,adj
accomplished,完成的,adj
promise,承諾,v n
investigators,調查員,n
ambitiously,雄心勃勃地,adv
alternatives,備擇方案,n
technologies,科技,n
afraid,害怕的,adj
pit,坑,v n
against,反對,prep
nature,自然,n
several,一些,adj art
individuals,個人,n adj pron
senior,進階的,n adj
research,考查;研究,v n adj
scientist,科學家,n
jet,噴射,v n
propulsion,推進力,n
laboratory,實驗室,n
posted,發布,v
challenge,挑戰,v n
community,社群,n
drum up,召集,v
interest,興趣,v n
field,場地,v n adj
driven,驅動的,v adj
searching,尋找,n adj
sponsors,贊助商,v n
subsidize,資助,v
prize,獎,v n adj
perhaps,也許,adv
current,目前的,n adj
efforts,努力,n
being,存在,v n
conducted,實施,v adj
international,國際的,n adj
nonprofit,非營利組織,adj
contract,合約,v n
within,之內,adv prep
few,很少,adv
month,月份,n
management,管理,n
complete,完全的,v adj
arranging,安排,v
initial,最初的,v n adj
million,百萬,num
investment,投資,n
launch,發射,v n
spin-off,分拆,n
company,公司,n adj
tentatively,姑且,adv
called,被稱為,v
incorporated,合併,adj
commercialize,商業化的,v adj
patented,獲得專利的,v
even,甚至,v n adj adv
half,一半,n adv
dozen,打,n
government,政府,n
automotive,汽車,adj
medical,醫療的,n adj
footwear,鞋類,n
industry,產業,n adj
bring,帶來,v
